station_id,station_name,utm_este,utm_norte,monitoring_date,monitoring_time,campaign,sampling_agency,source_file,source_page,do_mg_l,ph,water_temp_c,conductivity_us_cm,bod5_mg_l,cod_mg_l,tss_mg_l,phosphate_mg_l,total_phosphorus,ammonia_n,total_nitrogen,chlorophyll_a,aluminum,antimony,arsenic,barium,beryllium,boron,cadmium,calcium,cobalt,copper,chromium_total,iron,lithium,magnesium,manganese,mercury,nickel,silver,lead,selenium,sodium,thallium,uranium,vanadium,zinc
BInte-01,B. Interior de Puno,391408,8248999,2013-03-23,09:40,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,3.69,7.69,15.4,1574,4.2,17.7,<5.0,1.949,0.68,2.67,2.86,5.8,0.0454,<0.0002,0.0121,0.0864,<0.0006,1.1855,<0.0002,78.419,0.0003,0.0019,0.0022,0.1386,0.2826,35.854,0.1462,<0.0001,0.0024,<0.0002,0.0003,<0.0002,218.33,<0.0003,<0.0003,<0.0003,0.0153
BInte-02,B. Interior de Puno,392656,8249544,2013-03-23,09:45,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,7.97,8.6,15,1580,4.3,26.1,<5.0,1.793,0.64,2.34,4.35,1.1,0.0443,<0.0002,0.0101,0.0891,<0.0006,1.2094,<0.0002,81.339,0.0003,0.0027,0.002,0.1275,0.2912,36.051,0.1391,<0.0001,0.002,<0.0002,<0.0002,<0.0002,211.59,<0.0003,<0.0003,<0.0003,0.013
BInte-03,B. Interior de Puno,393018,8248669,2013-03-23,10:00,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,4.62,8.22,15.2,1574,4.1,20.7,<5.0,1.875,0.64,2.58,3.2,0.5,0.0391,<0.0002,0.0104,0.09,<0.0006,1.2211,0.0002,84.052,0.0003,0.0015,0.0016,0.1507,0.3119,35.148,0.1516,<0.0001,0.0024,<0.0002,0.0176,<0.0002,203.15,<0.0003,<0.0003,<0.0003,0.0107
BInte-04,B. Interior de Puno,392084,8248410,2013-03-23,10:15,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,7.08,8.31,14.35,1550,5.2,19.8,<5.0,2.073,0.71,2.94,3.33,3.4,0.0612,<0.0002,0.01,0.0905,<0.0006,1.1853,0.0002,82.228,0.0003,0.0027,0.0019,0.1413,0.3156,35.775,0.1568,<0.0001,0.0022,<0.0002,<0.0002,<0.0002,212.15,<0.0003,<0.0003,0.0016,0.0083
BInte-05,B. Interior de Puno,392710,8247813,2013-03-23,10:20,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,4.92,8.02,15.5,1578,4.7,22.7,<5.0,1.635,0.61,2.62,3.47,0.7,0.0418,<0.0002,0.0104,0.0881,<0.0006,1.2279,<0.0002,82.345,0.0003,0.0021,0.0022,0.137,0.2869,35.922,0.1453,<0.0001,0.0026,<0.0002,<0.0002,<0.0002,202.67,<0.0003,<0.0003,<0.0003,0.0115
BInte-06,B. Interior de Puno,394496,8249070,2013-03-23,11:57,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,7.22,7.47,15.31,1560,4.1,21.5,<5.0,1.738,0.62,2.95,4.22,2.6,0.0294,<0.0002,0.0101,0.0857,<0.0006,1.1479,<0.0002,76.973,0.0003,0.001,0.002,0.1089,0.3019,34.318,0.1359,<0.0001,0.0023,<0.0002,<0.0002,<0.0002,198.02,<0.0003,<0.0003,0.0014,0.0021
BInte-07,B. Interior de Puno,394636,8248231,2013-03-23,11:31,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,1.24,7.83,14.6,1567,2.7,17.7,<5.0,1.619,0.63,2.72,3.61,0.2,0.023,<0.0002,0.0086,0.0921,<0.0006,1.1901,<0.0002,79.876,0.0003,0.0014,0.002,0.0884,0.2924,37.167,0.1286,<0.0001,0.0025,<0.0002,<0.0002,<0.0002,200,<0.0003,<0.0003,<0.0003,0.0097
BInte-08,B. Interior de Puno,394173,8247653,2013-03-23,11:14,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,6.77,8.78,16,1540,3.7,18.1,<5.0,1.925,0.63,2.49,3.64,1.3,0.0366,<0.0002,0.0112,0.0925,<0.0006,1.2841,<0.0002,86.399,0.0003,0.0024,0.0021,0.1195,0.3041,39.178,0.1643,<0.0001,0.0023,<0.0002,0.0068,<0.0002,203.54,<0.0003,<0.0003,0.0003,0.0061
BInte-09,B. Interior de Puno,393361,8247189,2013-03-23,12:15,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,4.93,8.1,16.2,1560,4.2,24,<5.0,1.722,0.64,2.8,4.01,3,0.042,<0.0002,0.0109,0.0912,<0.0006,1.2173,<0.0002,76.813,0.0003,0.0017,0.0023,0.1235,0.2746,38.191,0.1568,<0.0001,0.0024,<0.0002,<0.0002,<0.0002,198.09,<0.0003,<0.0003,<0.0003,0.0061
BInte-10,"B. Interior de Puno, zona Achalani",394708,8246884,2013-03-23,12:41,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,6.01,7.57,16.3,1550,3.4,19.3,<5.0,1.985,0.72,2.71,3.81,0.5,0.0272,<0.0002,0.0084,0.0896,<0.0006,1.1925,<0.0002,80.173,0.0003,0.0014,0.0015,0.1124,0.3036,40.384,0.1467,<0.0001,0.0024,<0.0002,<0.0002,<0.0002,201.26,<0.0003,<0.0003,<0.0003,0.0034
BInte-11,"B. Interior de Puno, zona Achalani",395777,8247844,2013-03-23,13:15,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,16,3.5,8.03,15.4,1480,3.3,14.3,<5.0,0.411,0.18,0.45,1.56,,0.019,<0.0002,0.0091,0.0726,<0.0006,1.3154,<0.0002,72.976,0.0002,0.0019,0.0014,0.1206,0.2728,38.105,0.0513,<0.0001,0.0023,<0.0002,0.003,<0.0002,191.08,<0.0003,<0.0003,<0.0003,0.0079
BPuno01,R. Will (captacion),397147,8247364,2013-03-23,14:30,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,7.22,8.93,15.7,1454,2.1,8.8,<5.0,0.072,0.04,0.07,1.97,,<0.0019,<0.0002,0.0104,0.0625,<0.0006,1.1171,<0.0002,65.157,0.0002,0.0004,0.0005,0.0066,0.2922,33.137,0.0062,<0.0001,0.0016,<0.0002,<0.0002,<0.0002,177.48,<0.0003,<0.0003,<0.0003,0.0002
RWill-01,"R. Will, zona Achalani",396057,8250808,2013-03-23,13:50,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,4.22,7.94,15.4,1388,3.2,9.3,<5.0,0.098,0.06,0.04,2.04,,<0.0019,0.0002,0.0115,0.0632,<0.0006,1.1179,<0.0002,68.577,0.0002,0.0005,0.0005,0.0088,0.2883,37.266,0.0075,<0.0001,0.002,<0.0002,<0.0002,<0.0002,190.94,<0.0003,<0.0003,<0.0003,0.004
BPuno02,"B. de Puno, zona Ichu",399941,8246303,2013-04-24,10:30,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,5.94,9.17,16,1499,2,10.3,<5.0,0.054,0.03,0.02,<0.10,,0.0028,<0.0002,0.013,0.0644,<0.0006,1.1602,<0.0002,,0.0002,0.0005,0.0009,,0.3158,,0.0026,<0.0001,0.0022,<0.0002,<0.0002,<0.0002,177.25,<0.0003,0.0003,0.0008,0.004
BPuno03,"B. de Puno, zona Ichu",400670,8248683,2013-04-24,11:47,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,6.36,8.98,16,1440,<2.0,9.9,<5.0,0.045,0.02,0.02,0.2,,<0.0019,<0.0002,0.014,0.062,<0.0006,1.1821,<0.0002,,0.0002,0.0004,0.0013,,0.2951,,0.0014,<0.0001,0.0018,<0.0002,<0.0002,<0.0002,189.54,<0.0003,0.0003,0.001,0.0044
BPuno04,"B. de Puno, zona de Chucuito",403192,8245507,2013-04-24,12:28,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,6.67,9.14,15.8,1450,2.3,11.4,<5.0,0.048,0.02,0.04,<0.10,,<0.0019,<0.0002,0.0125,0.0612,<0.0006,1.2516,<0.0002,,0.0002,0.0005,0.0014,,0.2992,,0.0013,<0.0001,0.0019,<0.0002,<0.0002,<0.0002,169.64,<0.0003,0.0003,0.0011,<0.0002
BPuno05,"B. de Puno, zona de Chucuito",405587,8248637,2013-04-24,12:13,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,6.42,9,16.1,1470,2.5,10.7,<5.0,0.031,0.03,0.02,<0.10,,0.0027,<0.0002,0.0122,0.0606,<0.0006,1.2126,<0.0002,,0.0002,0.0004,0.0011,,0.3309,,0.0012,<0.0001,0.002,<0.0002,<0.0002,<0.0002,170.5,<0.0003,0.0003,0.0006,<0.0002
BPuno06,"B. de Puno, zona de Chucuito",404784,8251770,2013-04-24,12:30,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,6.57,9.01,15.6,1473,2.3,9.1,<5.0,0.057,0.02,0.03,1.91,,0.0023,<0.0002,0.0134,0.0618,<0.0006,1.1907,<0.0002,,0.0002,0.0005,0.0011,,0.3143,,0.0006,<0.0001,0.0017,<0.0002,<0.0002,<0.0002,176.66,<0.0003,0.0003,0.0011,0.0014
BPuno07,"B. de Puno, Punto Blanco",416331,8258046,2013-04-24,14:49,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,6.7,9.13,15.7,1475,2.6,9.5,<5.0,0.04,0.02,0.03,1.94,,<0.0019,<0.0002,0.0124,0.0638,<0.0006,1.1315,<0.0002,,0.0002,0.0006,0.001,,0.2994,,0.0003,<0.0001,0.0015,<0.0002,<0.0002,<0.0002,173.5,<0.0003,0.0003,0.0007,0.0008
BPuno08,"B. de Puno, zona de Tanra",408722,8266064,2013-04-24,15:56,Monitoreo Binacional Lago Titicaca 2013 (Bahia Puno),ANA-Binacional,IT 007-2013-ANA-DGCRHJJOS_MONITOREO LAGO TITICACA BAHIA PUNO ABRIL 2013.pdf,47,6.37,8.91,15.5,?,2.4,10.4,<5.0,0.148,0.04,0.03,1.43,,0.0045,<0.0002,0.014,0.0608,<0.0006,1.0877,<0.0002,62.525,0.0002,0.0006,0.0008,<0.0031,0.2963,29.929,0.0134,<0.0001,0.0015,<0.0002,<0.0002,<0.0002,150.51,<0.0003,0.0003,0.0011,0.0046
