station_id,station_name,utm_este,utm_norte,monitoring_date,monitoring_time,campaign,sampling_agency,source_file,source_page,do_mg_l,ph,water_temp_c,conductivity_us_cm,bod5_mg_l,cod_mg_l,tss_mg_l,barium,beryllium,cyanide_wad,lithium,magnesium,selenium,silicates,sodium,sulfate_mg_l,sulfides,phosphate_mg_l,total_phosphorus,ammonia_n,nitrate_mg_l,nitrite_mg_l,kjeldahl_n_mg_l,aluminum,antimony,arsenic,boron,cadmium,cobalt,copper,chromium_hexavalent,chromium_total,iron,manganese,mercury,nickel,lead,thallium,vanadium,zinc,oils_grease,fecal_coliforms,chlorophyll_a
BInte01,B. Interior de Puno,391402,8249013,2014-03-12,09:00,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),5.85,8.91,17.6,1725,5.64,21.9,5.15,0.078,<0.0002,<0.006,0.353,43.8,<0.003,10.73,215.23,275.91,<0.002,0.045,0.081,0.561,0.245,0.083,<1.00,0.03,<0.002,0.01,1.373,<0.0004,<0.0003,0.0009,<0.007,<0.0004,0.056,0.1471,<0.0001,<0.0004,0.002,<0.003,0.00072,<0.003,<1.00,17,<4
BInte02,B. Interior de Puno,392656,8249544,2014-03-12,09:30,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),9.2,8.92,16.4,1672,<2.00,<10.0,11.24,0.075,<0.0002,<0.006,0.353,43.41,<0.003,10.37,214.34,275.23,0.006,0.657,0.808,0.345,0.212,0.032,<1.00,0.02,<0.002,0.01,1.34,<0.0004,<0.0003,0.0007,<0.007,<0.0004,0.0519,0.1276,<0.0001,<0.0004,0.0015,<0.003,0.00036,<0.003,<1.00,<1.8,<4
BInte03,B. Interior de Puno,393018,8248669,2014-03-12,10:00,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),7.9,9.15,17.3,1674,5.72,22.9,5.47,0.075,<0.0002,<0.006,0.35,43.06,<0.003,10.36,213.09,272.95,0.003,0.613,0.76,0.426,0.198,0.034,<1.00,0.02,<0.002,0.01,1.329,<0.0004,<0.0003,0.0015,<0.007,<0.0004,0.0477,0.1294,<0.0001,<0.0004,0.0019,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BInte04,B. Interior de Puno,392040,8248425,2014-03-12,10:28,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),9.06,8.8,14.3,1672,5.14,23.4,7.01,0.075,<0.0002,<0.006,0.359,43.4,<0.003,10.33,217.52,266.36,<0.002,0.682,0.768,0.506,0.194,0.036,2.3,0.02,<0.002,0.009,1.332,<0.0004,<0.0003,<0.0004,<0.007,0.00051,0.0513,0.1296,<0.0001,<0.0004,0.0012,<0.003,<0.0002,<0.003,<1.00,4.5,<4
BInte05,B. Interior de Puno,392710,8247780,2014-03-12,10:50,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),7.89,9.18,18.2,1673,5.31,24.9,5.82,0.075,<0.0002,<0.006,0.35,42.26,<0.003,10.43,213.14,269.77,0.003,0.657,0.736,0.497,0.201,0.034,<1.00,0.03,<0.002,0.009,1.295,<0.0004,<0.0003,0.0005,<0.007,<0.0004,0.051,0.128,<0.0001,<0.0004,0.0015,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BInte06,B. Interior de Puno,394477,8249053,2014-03-12,11:16,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),5.02,8.9,17.2,1661,4.97,24.4,5.18,0.073,<0.0002,<0.006,0.354,42.73,<0.003,8.61,212.33,267.27,0.002,0.549,0.604,0.675,0.051,<0.003,1.43,0.01,<0.002,0.011,1.332,<0.0004,<0.0003,0.0004,<0.007,<0.0004,0.0264,0.0972,<0.0001,<0.0004,0.0011,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BInte07,B. Interior de Puno,394623,8248197,2014-03-12,11:37,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),8.07,9.03,17.6,1657,5.06,23.9,5.95,0.073,<0.0002,<0.006,0.342,41.57,<0.003,8.87,205.91,268.64,<0.002,0.593,0.679,0.624,0.176,1.034,1.38,0.02,<0.002,0.012,1.292,<0.0004,<0.0003,0.0007,<0.007,<0.0004,0.04,0.1124,<0.0001,<0.0004,0.0018,<0.003,0.00027,<0.003,<1.00,<1.8,<4
BInte08,B. Interior de Puno,394132,8247621,2014-03-12,11:58,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),5.33,8.83,18.7,1676,3.65,15.4,3.36,0.075,<0.0002,<0.006,0.348,42.47,<0.003,10.27,212.82,269.55,<0.002,0.755,0.832,1.155,0.205,0.137,1.45,0.03,<0.002,0.01,1.312,<0.0004,<0.0003,<0.0004,<0.007,<0.0004,0.0486,0.1397,<0.0001,<0.0004,0.0012,<0.003,0.00021,<0.003,<1.00,<1.8,<4
BInte09,B. Interior de Puno,393377,8247327,2014-03-12,12:19,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),8.15,9.05,19.2,1665,<2.00,<10.0,5.43,0.073,<0.0002,<0.006,0.336,41.73,<0.003,10.49,206.13,267.05,0.009,0.731,0.8,0.894,0.19,0.106,<1.00,0.02,<0.002,0.01,1.306,<0.0004,<0.0003,0.0007,<0.007,<0.0004,0.0484,0.1306,<0.0001,<0.0004,0.0008,<0.003,0.00024,<0.003,<1.00,<1.8,<4
BInte10,"B. Interior de Puno, zona Achalani",394641,8246844,2014-03-12,12:43,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),5.14,8.96,18.9,1665,4.48,16.4,3.63,0.075,<0.0002,<0.006,0.336,42.1,<0.003,10.0,208.37,275.68,0.004,0.77,0.84,1.275,0.194,0.034,1.34,0.01,<0.002,0.011,1.307,<0.0004,<0.0003,0.0005,<0.007,<0.0004,0.0436,0.1401,<0.0001,<0.0004,0.0016,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BInte11,"B. Interior de Puno, zona Achalani",395452,8247654,2014-03-12,13:04,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,8 (CUADRO 5),6.48,6.84,17.6,1668,6.96,25.9,3.93,0.075,<0.0002,<0.006,0.337,41.72,<0.003,9.15,207.73,276.14,0.01,0.633,0.776,1.119,0.194,0.035,2.1,0.01,<0.002,0.01,1.295,<0.0004,<0.0003,0.0009,<0.007,<0.0004,0.0444,0.134,<0.0001,<0.0004,<0.0004,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BPuno01,R. Frente a la captacion Chimu,396052,8250794,2014-03-12,13:38,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,9 (CUADRO 6),5.87,8.63,17.4,1516,<2.00,<10.0,<3.00,0.064,<0.0002,<0.006,0.328,38.57,<0.003,2.03,190.71,248.18,<0.002,0.446,0.5,0.026,0.04,<0.003,<1.00,<0.01,<0.002,0.011,1.26,<0.0004,<0.0003,<0.0004,<0.007,<0.0004,0.0054,0.0075,<0.0001,<0.0004,0.0016,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
RWilly01,rio Willy,397111,8247370,2014-03-12,14:12,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,9 (CUADRO 6),5.44,8.22,17.5,1557,5.06,12.9,<3.00,0.063,<0.0002,<0.006,0.331,38.29,<0.003,1.99,191.33,270.45,<0.002,0.039,0.046,0.034,0.048,<0.003,<1.00,<0.01,<0.002,0.009,1.238,<0.0004,<0.0003,0.0005,<0.007,<0.0004,0.0136,0.0079,<0.0001,<0.0004,0.0011,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BPuno02,"B. de Puno, zona Ichupampa",399882,8246437,2014-03-13,12:00,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,9 (CUADRO 6),6.31,8.78,16.7,1457,<2.00,<10.0,<3.00,0.06,<0.0002,<0.006,0.286,34.67,<0.003,1.53,179.72,258.64,<0.002,<0.030,<0.010,0.041,0.037,<0.003,<1.00,0.04,<0.002,0.008,1.265,<0.0004,<0.0003,<0.0004,<0.007,<0.0004,0.0361,0.0032,<0.0001,<0.0004,<0.0004,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BPuno03,"B. de Puno, zona Ichupampa",400715,8248732,2014-03-13,12:28,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,9 (CUADRO 6),6.37,8.79,16.4,1514,<2.00,<10.0,<3.00,0.061,<0.0002,<0.006,0.284,35.23,<0.003,1.51,182.18,253.86,<0.002,<0.030,<0.010,0.021,0.033,<0.003,<1.00,0.03,<0.002,0.01,1.29,<0.0004,<0.0003,<0.0004,<0.007,<0.0004,0.0207,0.0006,<0.0001,<0.0004,<0.0004,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BPuno04,"B. de Puno, zona de Chucuito",403189,8245455,2014-03-13,13:10,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,9 (CUADRO 6),6.37,8.69,16.7,1516,<2.00,<10.0,<3.00,0.062,<0.0002,<0.006,0.29,37.91,<0.003,1.63,179.96,260.68,<0.002,<0.030,<0.010,0.027,<0.030,<0.003,<1.00,0.02,<0.002,0.007,1.233,<0.0004,<0.0003,<0.0004,<0.007,<0.0004,0.019,0.0012,<0.0001,<0.0004,<0.0004,<0.003,<0.0002,0.005,<1.00,<1.8,<4
BPuno05,"B. de Puno, zona de Chucuito",405613,8248638,2014-03-13,13:55,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,9 (CUADRO 6),6.52,8.79,16.1,1522,<2.00,<10.0,<3.00,0.062,<0.0002,<0.006,0.295,38.12,<0.003,1.69,182.67,261.14,<0.002,<0.030,<0.010,<0.020,0.037,<0.003,<1.00,0.02,<0.002,0.009,1.251,<0.0004,<0.0003,<0.0004,<0.007,<0.0004,0.0119,0.0017,<0.0001,<0.0004,<0.0004,<0.003,<0.0002,0.005,<1.00,<1.8,<4
BPuno06,"B. de Puno, zona de Chucuito",404771,8251796,2014-03-13,14:25,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,9 (CUADRO 6),6.52,8.57,16.5,1508,<2.00,<10.0,<3.00,0.061,<0.0002,<0.006,0.299,37.34,<0.003,1.61,179.45,262.5,<0.002,<0.030,<0.010,<0.020,<0.030,<0.003,<1.00,0.02,<0.002,0.008,1.242,<0.0004,<0.0003,<0.0004,<0.007,<0.0004,0.0036,<0.0004,<0.0001,<0.0004,<0.0004,<0.003,<0.0002,<0.003,<1.00,<1.8,<4
BPuno07,"B. de Puno, Punto Blanco",416264,8258045,2014-03-13,15:45,"Monitoreo Binacional Lago Titicaca 2014 (marzo, sector peruano)",ANA-Binacional,IT 018-2014-ANA-DGCRH-GOCRH_MONITOREO LAGO TITICACA-PERU MARZO 2014.pdf,9 (CUADRO 6),6.98,8.95,16.2,1480,<2.00,<10.0,<3.00,0.061,<0.0002,<0.006,0.286,35.2,<0.003,1.55,172.64,249.09,<0.002,<0.030,<0.010,<0.020,<0.030,<0.003,<1.00,0.01,<0.002,0.008,1.187,<0.0004,<0.0003,<0.0004,<0.007,<0.0004,0.0025,<0.0004,<0.0001,<0.0004,<0.0004,<0.003,<0.0002,0.009,<1.00,<1.8,<4
