station_id,station_name,utm_este,utm_norte,monitoring_date,monitoring_time,campaign,sampling_agency,source_file,source_page,do_mg_l,ph,water_temp_c,conductivity_us_cm,secchi_m,total_phosphorus,total_nitrogen,chlorophyll_a,tss_mg_l,sulfides,fecal_coliforms,arsenic
LTiti59,"B. Interior de Puno, frente Muelle principal (Puno)",391402,8249013,2019-04-04,11:10,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 7,2.84,8.96,18.10,1570.00,0.50,0.743,2.670,89.35,21,0.0056,49,0.01347
LTiti60,"B. Interior de Puno, frente zona Huajje (Puno)",392656,8249544,2019-04-04,11:40,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 7,5.64,9.02,18.07,1770.00,0.90,0.729,2.38?,118.94,19,0.00039,46,0.01324
LTiti61,"B. Interior de Puno, frente zona Chimu (Puno)",394641,8246844,2019-04-04,12:45,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 7,6.45,9.13,16.58,1736.00,0.90,0.772,3.120,52.62,19,0.0052,,0.01363
LTiti62,"B. Interior de Puno, trayecto lacustre principal",393607,8248395,2019-04-04,12:30,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 7,5.91,8.92,17.19,1674.00,0.90,0.602,2.300,80.58,18,0.00039,9.2,0.01360
LTiti63,"B. Interior de Puno, proximo vertimiento EMSAPUNO",393377,8247327,2019-04-04,12:15,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 7,5.43,9.01,17.79,1748.00,0.70,0.811,2.890,14.22,20,0.0038,26,0.01365
LTiti64,"B. Interior de Puno, proximo isla Esteves y Los Uros",394477,8249053,2019-04-04,12:10,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 7,5.44,8.83,17.18,1750.00,0.70,0.639,2.330,40.12,15,0.0094,,0.01434
LTiti65,Bahia de Puno frente Callejón Chimu,399844,8246416,2019-04-04,13:30,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.75,8.65,16.48,1503.00,5.20,0.009,0.1130,2.51,,,6.8,0.01166
LTiti66,Bahia de Puno frente Ojjerani,398338,8247832,2019-04-04,08:10,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.74,8.62,17.15,1501.00,5.20,0.009,0.1690,2.29,,,4.5,0.01174
LTiti67,Bahia de Puno frente Kcapi Uros,402628,8249587,2019-04-05,08:40,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.94,8.76,14.65,,5.50,0.009,0.1580,1.11,,,1.79,0.01137
LTiti68,Bahia de Puno frente Cusipata (Chucuito),403161,8245407,2019-04-05,10:00,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.89,8.63,15.47,,6.10,0.009,0.1650,1.82,,,1.79,0.01154
LTiti69,Bahia de Puno frente Chucuito,407055,8245401,2019-04-05,10:20,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.77,8.63,15.38,,5.80,0.009,0.1520,3.13,,,1.79,0.01164
LTiti70,"Bahia de Puno frente Tacasaya (peninsula Chucuito)",406610,8250115,2019-04-05,11:45,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.92,8.66,16.31,,7.20,0.009,0.1640,1.66,,,1.79,0.01230
LTiti71,"Bahia de Puno frente Luquina (peninsula Chucuito)",408155,8255662,2019-04-05,,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.59,8.65,16.46,?,9.14,0.009,0.1910,1.91,,,1.79,0.01190
LTiti72,"Bahia de Puno entre pens. Chucuito y Capachica",414280,8258223,2019-04-05,,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.51,8.63,16.85,,9.80,0.009,0.1570,2.13,,,1.79,0.01201
LTiti73,"Bahia de Puno frente Tangra (peninsula Capachica)",410579,8262593,2019-04-05,,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 8,5.12,8.41,17.16,977.20,4.10,0.009,0.2720,1.95,,,1.79,0.01253
LTiti41,Lago menor frente Unicachi,506591,8202211,2019-04-15,11:10,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 10,5.75,8.64,16.20,1911.00,4.50,0.009,0.4810,2.65,,,1.79,0.12460
LTiti46,Lago menor frente Ollaraya,499001,8198080,2019-04-15,10:25,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 10,6.25,8.71,15.60,1903.00,4.00,0.009,0.5090,1.92,,,27,0.01302
LTiti47,Lago menor frente Ollaraya,505071,8197329,2019-04-15,11:40,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 10,6.00,8.68,16.20,,4.50,0.009,0.3520,3.13,,,1.79,0.01389
LTiti50,Lago menor frente Copani,503194,8191471,2019-04-15,12:15,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 10,6.33,8.75,17.20,1873.00,4.50,0.009,0.4350,2.80,,,1.79,0.01418
LTiti53,"Lago menor frente Copani-Zepita",500962,8184728,2019-04-15,12:40,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 10,6.35,8.81,17.10,1883.00,4.50,0.009,0.4570,2.21,,,1.79,0.01381
LTiti54,Lago menor frente Zepita,499087,8177898,2019-04-16,07:25,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 10,6.50,8.66,14.60,1818.00,3.90,0.009,0.4910,1.87,,,1.79,0.01424
LTiti56,Lago menor frente Desaguadero,496233,8168941,2019-04-16,,Monitoreo Binacional Lago Titicaca IT036-2019 (abril 2019),ANA-Binacional,IT 036-2019 ANA Binacional abril 2019.pdf,Cuadro 10,6.45,8.51,15.40,,1.80,0.009,0.6080,4.47,,,70,0.01367
